participant_ID,task_3,task_2,task_1
1,60980,30660,20000
2,68004,31830,19000
3,68496,33930,21000
4,59724,28490,11000
5,58886,26045,16000
6,64952,30400,23000
7,61762,24625,19000
8,68484,29755,22000
9,63516,31685,24000
10,63546,29745,17000
11,58884,32495,23000
12,64000,31040,23000
13,62118,29090,17000
14,62102,32340,23000
15,65822,31115,20000
16,60798,32475,21000
17,63006,31075,21000
18,63752,28715,17000
19,63892,29190,21000
20,57280,30205,24000
21,64454,28315,19000
22,65420,31720,21000
23,58660,32565,24000
24,61816,33420,19000
25,67176,31765,23000
26,64144,29840,20000
27,57484,29790,20000
28,63888,28000,17000
29,48000,27500,19000
30,64976,34440,18000
31,63330,34880,20000
32,67424,31940,19000
33,62782,31740,22000
34,66494,30665,20000
35,67000,27500,20000
36,63870,31585,24000
37,63408,32085,21000
38,62368,33625,22000
39,57378,31770,22000
40,60000,28500,20000
41,59800,28580,18000
42,63940,31570,22000
43,66772,31030,20000
44,63308,29755,24000
45,68136,34710,20000
46,66990,31650,21000
47,61678,32115,20000
48,65582,30240,18000
49,61860,31490,23000
50,62190,32805,24000
51,64686,32360,24000
52,66752,32735,19000
53,66388,31555,20000
54,64490,28245,21000
55,60290,32770,22000
56,57920,26770,17000
57,61488,34195,21000
58,58344,29955,22000
59,63378,32085,21000
60,63058,33670,22000
61,61000,32380,17000
62,62944,33125,16000
63,62096,34490,24000
64,68486,30320,21000
65,52742,26915,18000
66,60044,31990,21000
67,59366,30760,23000
68,50272,28365,20000
69,58444,33490,21000
70,64340,35470,22000
71,68828,32965,23000
72,67132,33515,22000
73,60000,26315,17000
74,62020,32515,17000
75,53828,29720,21000
76,63362,33120,23000
77,68574,34415,24000
78,58890,27475,22000
79,66480,33425,21000
80,66406,32940,19000
81,59976,28525,19000
82,68196,32475,19000
83,65252,33030,20000
84,60918,31015,21000
85,62504,25940,16000
86,63558,29350,20000
87,61000,33500,21000
88,63000,32500,9000
89,62230,32995,19000
90,45142,25250,10000
91,64256,34415,21000
92,65300,30440,20000
93,65000,29620,21000
94,60666,25490,14000
95,62438,32535,24000
96,58620,30875,23000
97,63834,30640,17000
98,64686,32135,21000
99,68270,27380,20000
100,61704,31500,20000
101,55840,29190,17000
102,66958,28915,20000
103,66164,33740,19000
104,62744,31815,18000
105,60000,27500,20000
106,62796,32720,15000
107,59464,30620,20000
108,62580,33345,20000
109,66532,34695,19000
110,62500,34290,16000
111,61840,27270,15000
112,65752,33760,18000
113,62662,30020,7000
114,65894,30735,19000
115,67000,34500,18000
116,68000,35500,19000
117,59046,29330,12000
118,66764,32630,22000
119,67952,33330,21000
120,56184,28285,19000
121,53556,23765,17000
122,63478,35075,20000
123,57492,30545,20000
124,70216,31830,21000
125,64604,34460,18000
126,62150,32350,16000
127,62168,30400,15000
128,63164,32675,22000
129,62330,33825,23000
130,62856,29640,24000
131,62618,31225,22000
132,59000,31460,22000
133,47660,25135,14000
