,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
28,29,bayes_3HXCEECSRPFLFZM2BVK28XUZLXVZY3_A1O4AAQX2KCD3N_37Q970SNZIUUB1MFUGONN1H9JTB1SR_results.,375.0,6120.448696000018,1990.4041639999652,2031.4685920000256
29,30,bayes_3X52SWXE10R4I1GS4GI6C28Y0OBWC1_A2GFU1QB3HGIX7_3KRVW3HTZR7R7Q84N27L7T5B4FSSMJ_results.,351.0,8964.930636000006,8198.838180000008,8510.825456000026
30,31,bayes_3PR3LXCWTILH93EF2141CVLX4RNX9W_AA9PFKXAPSD78_3JZQSN0I3UWIBB7W6F9RNP20X5DFGQ_results.,491.0,14069.428035999956,18224.897611999262,17237.027353999045
31,32,bayes_3P0I4CQYW1T5RQDVULRX722FMXMWOD_A1171IQSWQS0K8_3TAYZSBPLPU10M4BDKO1SKRDC68S2V_results.,478.0,8235.08157199977,8325.356156000247,6830.854927999999
32,33,bayes_3YOAVL4CB335HS8IMOWVS8QSQ2O4ZR_A3KSAP865D3L7D_3VHHR074H73LIA6RZN8VCPURVWF7LF_results.,433.0,15480.180767999995,19051.57123999966,13275.635620000197
33,34,bayes_3WRAAIUSCMLVEMOKU7I18QWHA8CXAG_A12FVED8BAXLEE_3LOTDFNYABLE8XXWLKD99SOOQQOWFK_results.,490.0,24332.2509920009,7335.4644679997555,5995.292986000061
34,35,bayes_3BS6ERDLA6TGTE70DU0DYER3Y61D6T_A1SZOM6LRRMPOX_3NVC2EB65ULNHQC3GQUVTGK7Y0JY3W_results.,500.0,14506.578884000106,4389.919460000053,2082.8069239999913
35,36,bayes_386T3MLZMQH9Y8PUUX9G3L3B6N508E_A4ZCS7YTJS0DF_3F1567XTN0R0NQAX6PEB77KQ0Q2Q95_results.,351.0,10958.000884000005,13466.764979999989,8696.642149999963
36,37,bayes_389A2A305R4BABF7B9PL57ZU0QQC0O_A3JALHKRSV3RJX_30BXRYBRP8JYMTO2GA19CD014OUHWW_results.,342.0,11405.558719999923,11569.733973333277,9156.73841333326
37,38,bayes_35A1YQPVGH21ILN80PRJX5TGT0R5I3_A16ERLEOSBDEQX_3F6KKYWMNFNRNJAM2DRWP98BAFJND3_results.,475.0,16215.131355999809,10623.24988400034,10911.969325999762
38,39,bayes_3X4Q1O9UCK8Q1BCUMDJLFM3YX0A7OB_A1L0D68W1KY0H7_3NGI5ARFTXRXY96N2ZKTSWCYXE5P1B_results.,345.0,18707.760104000085,8012.053112000028,3445.4851699999645
39,40,bayes_34OWYT6U4Z3KJ8PK3F409LYIGU69IR_AK1R9J8CD04Q1_33PPUNGG3CRF5I7AN2XAPLWP75VRZ3_results.,375.0,9919.391716,3065.9510840000225,2014.804787999961
40,41,bayes_3SCKNODZ1028JQCILYJ80X3T6KQ7N4_A2WE0RC8BU1RLB_36V4Q8R5ZOMFUATRVYIGCTQARCIMQA_results.,375.0,15431.470186666667,4825.851013333367,3001.8826133332836
41,42,bayes_3VEI3XUC0UJI4U8AARU693ZO7CLRPL_A1R8I1H63TWK79_308XBLVESMQJNK4UHOH733PLB2YRBF_results.,487.0,8335.40884800004,8359.080025333293,6620.519277999399
