participant_ID,treatment,part,trial_no,setup_cost_red,setup_cost_blue,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1,0.07692307692307693,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,0.0,2,0,0,-1,0.058823529411764705,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,0.0,3,0,0,-1,0.04477611940298507,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,0.0,4,0,0,-1,0.033962264150943396,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,0.0,5,0,0,-1,0.025689819219790674,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,0.0,6,0,0,-1,0.01939190806799138,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,0,0.0,7,0,0,-1,0.014614783183977867,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,9,0,0.0,8,0,0,-1,0.011001282728438843,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,10,0,1.0,9,0,0,-1,0.008273717422474094,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,11,0,1.0,9,1,0,-1,0.011001282728438842,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,12,0,0.0,9,2,0,-1,0.014614783183977865,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,13,0,0.0,10,2,0,-1,0.011001282728438842,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,14,0,0.0,11,2,0,-1,0.008273717422474094,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,15,0,1.0,12,2,0,-1,0.006218149870585525,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,16,0,0.0,12,3,0,-1,0.008273717422474092,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,17,1,1.0,13,3,0,-1,0.006218149870585524,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1,0.07692307692307693,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,0.0,2,0,0,-1,0.058823529411764705,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,0.0,3,0,0,-1,0.04477611940298507,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,0.0,4,0,0,-1,0.033962264150943396,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,0.0,5,0,0,-1,0.025689819219790674,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,0.0,6,0,0,-1,0.01939190806799138,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,1,1.0,7,0,0,-1,0.014614783183977867,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,1,1.0,0,0,0,-1,0.1,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,1,1.0,0,0,0,-1,0.1,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,0.0,2,0,0,-1,0.058823529411764705,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,0.0,3,0,0,-1,0.04477611940298507,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,0.0,4,0,0,-1,0.033962264150943396,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,0.0,5,0,0,-1,0.025689819219790674,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,0.0,6,0,0,-1,0.01939190806799138,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,0,0.0,7,0,0,-1,0.014614783183977867,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,9,0,0.0,8,0,0,-1,0.011001282728438843,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,10,0,1.0,9,0,0,-1,0.008273717422474094,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,11,0,0.0,9,1,0,-1,0.011001282728438842,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,12,0,0.0,10,1,0,-1,0.008273717422474094,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,13,0,1.0,11,1,0,-1,0.006218149870585525,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,14,0,1.0,11,2,0,-1,0.008273717422474092,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,15,0,0.0,11,3,0,-1,0.01100128272843884,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,16,0,1.0,12,3,0,-1,0.008273717422474092,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,17,0,0.0,12,4,0,-1,0.01100128272843884,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,18,0,1.0,13,4,0,-1,0.008273717422474092,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,19,1,0.0,13,5,0,-1,0.01100128272843884,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1,0.07692307692307693,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,1,1.0,2,0,0,-1,0.058823529411764705,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,0.0,0.0,0
