participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,1.0,1.0,7.0,7.0,0.7,4,0,0.0,3,0,0,-1.0,0.4960629921259841,0.0,0.0,3433.294700000061
1.0,1.0,1.0,7.0,7.0,0.7,5,0,0.0,4,0,0,-1.0,0.42471910112359534,0.0,0.0,4183.295200000137
1.0,1.0,1.0,7.0,7.0,0.7,6,0,0.0,5,0,0,-1.0,0.35637963544940277,0.0,0.0,5066.6062000001975
1.0,1.0,1.0,7.0,7.0,0.7,7,0,0.0,6,0,0,-1.0,0.2934276349836121,0.0,0.0,5716.5404000001745
1.0,1.0,1.0,7.0,7.0,0.7,8,1,0.0,7,0,1,0.0,0.0,0.0,0.0,6733.313200000222
1.0,1.0,1.0,8.0,5.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,3366.6418999999933
1.0,1.0,1.0,8.0,5.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307693,1.0,1.0,4083.292599999965
1.0,1.0,1.0,8.0,5.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764705,1.0,1.0,4816.630299999904
1.0,1.0,1.0,8.0,5.0,0.1,4,0,0.0,3,0,0,-1.0,0.04477611940298507,1.0,1.0,5483.256399999873
1.0,1.0,1.0,8.0,5.0,0.1,5,0,0.0,4,0,0,-1.0,0.033962264150943396,1.0,1.0,6283.330899999847
1.0,1.0,1.0,8.0,5.0,0.1,6,1,1.0,5,0,0,-1.0,0.025689819219790674,1.0,1.0,7249.991299999874
1.0,1.0,1.0,9.0,1.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1549.9772000002142
1.0,1.0,1.0,9.0,1.0,0.1,2,1,1.0,1,0,0,-1.0,0.07692307692307693,1.0,1.0,2549.992100000207
1.0,1.0,1.0,10.0,3.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,1.0,0.0,1800.0224000000628
1.0,1.0,1.0,10.0,3.0,0.7,2,0,1.0,0,1,0,-1.0,0.7567567567567567,1.0,0.0,2600.0300000001557
1.0,1.0,1.0,10.0,3.0,0.7,3,0,1.0,0,2,0,-1.0,0.8057553956834532,1.0,0.0,3433.345500000189
1.0,1.0,1.0,10.0,3.0,0.7,4,1,0.0,0,3,0,-1.0,0.8468809073724007,1.0,0.0,4216.652900000174
1.0,1.0,1.0,11.0,9.0,0.9,1,0,1.0,0,0,0,-1.0,0.9,0.0,0.0,1483.3858000000234
1.0,1.0,1.0,11.0,9.0,0.9,2,0,1.0,0,1,0,-1.0,0.9230769230769231,0.0,0.0,2116.722599999955
1.0,1.0,1.0,11.0,9.0,0.9,3,0,1.0,0,2,0,-1.0,0.9411764705882353,0.0,0.0,2766.670199999941
1.0,1.0,1.0,11.0,9.0,0.9,4,0,1.0,0,3,0,-1.0,0.9552238805970149,0.0,0.0,3466.7029999998686
1.0,1.0,1.0,11.0,9.0,0.9,5,0,1.0,0,4,0,-1.0,0.9660377358490566,0.0,0.0,4133.385699999886
1.0,1.0,1.0,11.0,9.0,0.9,6,0,1.0,0,5,0,-1.0,0.9743101807802094,0.0,0.0,4833.343399999818
1.0,1.0,1.0,11.0,9.0,0.9,7,0,1.0,0,6,0,-1.0,0.9806080919320086,0.0,0.0,5500.06369999985
1.0,1.0,1.0,11.0,9.0,0.9,8,0,1.0,0,7,0,-1.0,0.9853852168160221,0.0,0.0,6166.738699999823
1.0,1.0,1.0,11.0,9.0,0.9,9,0,1.0,0,8,0,-1.0,0.9889987172715612,0.0,0.0,6850.084999999775
1.0,1.0,1.0,11.0,9.0,0.9,10,1,0.0,0,9,0,-1.0,0.9917262825775259,0.0,0.0,7516.743499999788
1.0,1.0,1.0,12.0,9.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,1.0,1.0,1201.7411000000254
1.0,1.0,1.0,12.0,9.0,0.7,2,0,1.0,0,1,0,-1.0,0.7567567567567567,1.0,1.0,1801.7490999999984
1.0,1.0,1.0,12.0,9.0,0.7,3,0,1.0,0,2,0,-1.0,0.8057553956834532,1.0,1.0,2401.779299999979
1.0,1.0,1.0,12.0,9.0,0.7,4,0,0.0,0,3,0,-1.0,0.8468809073724007,1.0,1.0,4101.804099999892
1.0,1.0,1.0,12.0,9.0,0.7,5,0,0.0,1,3,0,-1.0,0.8057553956834532,1.0,1.0,4603.468499999952
1.0,1.0,1.0,12.0,9.0,0.7,6,0,0.0,2,3,0,-1.0,0.7567567567567568,1.0,1.0,5153.497899999994
1.0,1.0,1.0,12.0,9.0,0.7,7,0,0.0,3,3,0,-1.0,0.7000000000000001,1.0,1.0,5803.411700000033
1.0,1.0,1.0,12.0,9.0,0.7,8,0,0.0,4,3,0,-1.0,0.6363636363636365,1.0,1.0,6436.767000000003
1.0,1.0,1.0,12.0,9.0,0.7,9,0,0.0,5,3,0,-1.0,0.5675675675675678,1.0,1.0,7070.153899999991
1.0,1.0,1.0,12.0,9.0,0.7,10,1,1.0,6,3,0,-1.0,0.4960629921259844,1.0,1.0,7703.529699999999
1.0,1.0,1.0,13.0,5.0,0.3,1,0,0.0,0,0,0,-1.0,0.3,1.0,1.0,1016.6687999999907
1.0,1.0,1.0,13.0,5.0,0.3,2,0,0.0,1,0,0,-1.0,0.24324324324324323,1.0,1.0,1683.310199999973
1.0,1.0,1.0,13.0,5.0,0.3,3,0,0.0,2,0,0,-1.0,0.19424460431654675,1.0,1.0,2333.2870999999986
1.0,1.0,1.0,13.0,5.0,0.3,4,0,0.0,3,0,0,-1.0,0.15311909262759923,1.0,1.0,2966.5938000000365
1.0,1.0,1.0,13.0,5.0,0.3,5,0,0.0,4,0,0,-1.0,0.11941031941031939,1.0,1.0,3633.296100000041
1.0,1.0,1.0,13.0,5.0,0.3,6,1,1.0,5,0,0,-1.0,0.09231353678612131,1.0,1.0,4666.573699999991
1.0,1.0,1.0,14.0,1.0,0.9,1,0,1.0,0,0,0,-1.0,0.9,0.0,0.0,1083.4340000000432
1.0,1.0,1.0,14.0,1.0,0.9,2,1,0.0,0,1,0,-1.0,0.9230769230769231,0.0,0.0,2083.4748000000313
1.0,1.0,1.0,15.0,9.0,0.5,1,0,0.0,0,0,0,-1.0,0.5,1.0,1.0,1200.0442000000212
1.0,1.0,1.0,15.0,9.0,0.5,2,0,0.0,1,0,0,-1.0,0.42857142857142855,1.0,1.0,1933.4892999999965
1.0,1.0,1.0,15.0,9.0,0.5,3,0,0.0,2,0,0,-1.0,0.36,1.0,1.0,2633.522099999937
1.0,1.0,1.0,15.0,9.0,0.5,4,0,0.0,3,0,0,-1.0,0.2967032967032967,1.0,1.0,3316.878699999994
1.0,1.0,1.0,15.0,9.0,0.5,5,0,0.0,4,0,0,-1.0,0.2403560830860534,1.0,1.0,3983.532000000022
1.0,1.0,1.0,15.0,9.0,0.5,6,0,0.0,5,0,0,-1.0,0.19179163378058406,1.0,1.0,4666.88600000006
1.0,1.0,1.0,15.0,9.0,0.5,7,0,0.0,6,0,0,-1.0,0.1510880829015544,1.0,1.0,5350.189599999992
1.0,1.0,1.0,15.0,9.0,0.5,8,0,0.0,7,0,0,-1.0,0.11776425609821765,1.0,1.0,6016.898599999941
1.0,1.0,1.0,15.0,9.0,0.5,9,0,0.0,8,0,0,-1.0,0.09100239954505734,1.0,1.0,6700.250799999907
1.0,1.0,1.0,15.0,9.0,0.5,10,1,1.0,9,0,0,-1.0,0.06984071788721448,1.0,1.0,7433.578599999892
1.0,1.0,1.0,16.0,3.0,0.9,1,0,1.0,0,0,0,-1.0,0.9,0.0,0.0,1416.5761000000118
1.0,1.0,1.0,16.0,3.0,0.9,2,0,1.0,0,1,0,-1.0,0.9230769230769231,0.0,0.0,2099.91150000001
1.0,1.0,1.0,16.0,3.0,0.9,3,0,1.0,0,2,0,-1.0,0.9411764705882353,0.0,0.0,2849.8738999999755
1.0,1.0,1.0,16.0,3.0,0.9,4,1,0.0,0,3,0,-1.0,0.9552238805970149,0.0,0.0,4116.53979999984
1.0,1.0,1.0,17.0,3.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,1.0,0.0,1583.3324000000257
1.0,1.0,1.0,17.0,3.0,0.5,2,0,1.0,0,1,0,-1.0,0.5714285714285714,1.0,0.0,2300.0235000000157
1.0,1.0,1.0,17.0,3.0,0.5,3,0,1.0,0,2,0,-1.0,0.64,1.0,0.0,3099.980800000054
1.0,1.0,1.0,17.0,3.0,0.5,4,1,0.0,0,3,0,-1.0,0.7032967032967032,1.0,0.0,3850.018000000168
1.0,1.0,1.0,18.0,1.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,1.0,0.0,1416.5771999999995
1.0,1.0,1.0,18.0,1.0,0.7,2,1,0.0,0,1,0,-1.0,0.7567567567567567,1.0,0.0,2383.223800000037
1.0,1.0,1.0,19.0,5.0,0.9,1,0,1.0,0,0,0,-1.0,0.9,0.0,0.0,1116.6636999999291
1.0,1.0,1.0,19.0,5.0,0.9,2,0,1.0,0,1,0,-1.0,0.9230769230769231,0.0,0.0,1766.6740999998874
1.0,1.0,1.0,19.0,5.0,0.9,3,0,1.0,0,2,0,-1.0,0.9411764705882353,0.0,0.0,2466.685699999808
1.0,1.0,1.0,19.0,5.0,0.9,4,0,1.0,0,3,0,-1.0,0.9552238805970149,0.0,0.0,3183.3562999995534
1.0,1.0,1.0,19.0,5.0,0.9,5,0,1.0,0,4,0,-1.0,0.9660377358490566,0.0,0.0,4183.373599999477
1.0,1.0,1.0,19.0,5.0,0.9,6,1,0.0,0,5,0,-1.0,0.9743101807802094,0.0,0.0,5066.778699999476
1.0,1.0,1.0,20.0,5.0,0.5,1,0,0.0,0,0,0,-1.0,0.5,1.0,1.0,1233.3827999999976
1.0,1.0,1.0,20.0,5.0,0.5,2,0,0.0,1,0,0,-1.0,0.42857142857142855,1.0,1.0,1899.970200000156
1.0,1.0,1.0,20.0,5.0,0.5,3,0,0.0,2,0,0,-1.0,0.36,1.0,1.0,2600.0147000000807
1.0,1.0,1.0,20.0,5.0,0.5,4,0,0.0,3,0,0,-1.0,0.2967032967032967,1.0,1.0,3233.339800000168
1.0,1.0,1.0,20.0,5.0,0.5,5,0,0.0,4,0,0,-1.0,0.2403560830860534,1.0,1.0,3883.3329000003523
1.0,1.0,1.0,20.0,5.0,0.5,6,1,1.0,5,0,0,-1.0,0.19179163378058406,1.0,1.0,5033.222700000191
1.0,1.0,1.0,21.0,3.0,0.3,1,0,0.0,0,0,0,-1.0,0.3,0.0,0.0,1283.3352000003213
1.0,1.0,1.0,21.0,3.0,0.3,2,0,0.0,1,0,0,-1.0,0.24324324324324323,0.0,0.0,1950.025700000277
