participant_ID,task_3,task_2,task_1
1,42500,17500,21000
2,41500,18500,22000
3,43500,23500,23000
4,48500,25500,19000
5,41500,21500,23000
6,42500,22500,24000
7,47500,25500,20000
8,36500,18500,22000
9,48500,23500,22000
10,39500,23500,20000
11,45500,22500,21000
12,48500,24500,18000
13,46500,22500,23000
