alpha1,alpha2,lambda
1.071582514755078,1.1462202547073532,0.045828969586035266
0.7137190335662391,1.1628704729001589,0.03810272079944084
1.0505697351265209,1.6510593660463768,0.03522552786645573
0.8719199557827695,0.6925168350777555,0.054990086641749876
0.9266221556801251,0.962151969363076,0.04139380203287055
1.082653090894523,0.9196575686995505,0.04147754399659208
0.778826101444622,0.8592051803072269,0.03827620662435122
1.0482032826915995,1.0983713702033415,0.034765259806948515
0.9251422625673819,0.993599382425804,0.03216370206605259
0.9644341490234641,0.6746628838931761,0.06778554898426686
1.0778725529499191,0.9815379539296891,0.04441421844098165
0.9437666676456911,1.142620559874318,0.04055049531340024
0.8549967045112192,0.8749913821097643,0.03988727132051777
0.94703125,0.9589062500000001,0.041374999999999995
1.0613904206406506,0.911764060988765,0.047973168569996436
1.0319116243965856,0.9982111433400578,0.047037743542293065
0.8080953847858681,0.9314731184161849,0.03472642422783502
1.063646405317112,0.9988909114040727,0.04628409431123271
0.8850032994774588,0.7524806887237149,0.03986783695174212
1.0499394077152608,1.050007583435947,0.0448803515996332
1.1308698090654423,1.794628457351565,0.03148928508312059
0.911209797075482,1.1272462823330769,0.0354094991245499
1.0545053588977717,0.9136286315734432,0.054134514636670704
0.8381595675932907,0.6916068868489034,0.04242555791577532
1.1203930444213177,1.254821381213126,0.03337232404590336
1.0874367465955777,1.238239987874068,0.031324730426302724
0.6760376234460073,0.6055635243310395,0.04305213255494657
0.9616103956447378,0.9610107859916901,0.05070740508529305
0.9443673875332494,0.965891066016878,0.04924543073578708
1.1518299299616905,0.6691231766147844,0.039686347767328385
0.9912251133348124,0.9985144596090793,0.032885101892317345
1.064177968281106,0.7708526722359985,0.04554911593779648
1.0703981499483333,1.1102158595818057,0.041556634526435716
1.099443587429867,1.4289155803054894,0.03881989305922966
1.0484518174930813,1.3023631788881243,0.04500939698508101
0.8751723723823845,0.6487795832743328,0.03735085778569239
1.1399370809935137,1.3336391687294957,0.038550408724690434
1.0542265116370042,1.0664658942479077,0.046641770511014896
0.8138494504889755,0.7631362531068631,0.03823356826532919
0.9539628139891794,1.0492999919698907,0.031678159639614054
1.0498183933886747,1.2991665043886966,0.04284463853449526
1.0470737954492737,1.7045789784788434,0.03671264402370446
0.9738186478601485,0.9764151728992048,0.05294082656718485
0.980585030536073,0.6854536187553337,0.045829809099135366
0.8923163661423186,0.8878525350457854,0.04859640205859566
0.8567464823977442,0.9221898572796805,0.04174649667330525
1.0543566178076333,1.1457135379151504,0.045976273581596824
0.9740100281261448,0.6957576493078791,0.050041275798429576
0.9077066713164366,0.9632606892872917,0.03147293495399005
1.038793369809115,0.9572280153704187,0.04096715366121581
1.029642561927301,1.4564907353022107,0.028684288771694155
0.872450128015501,0.7785950158367902,0.04749833154970001
0.9406742413283937,1.016086083934335,0.04011019114036114
1.0493411629577651,1.406442093955408,0.03500808989600539
0.970902562375545,0.9267144103969536,0.0369894504096141
0.8001207508144716,1.0883688911260072,0.030481338480045438
0.8884060389079831,1.0892202354991145,0.03742962610884462
0.9846392881919326,0.982615094910924,0.048134116655514564
0.9518611009882426,0.8553916503138861,0.04024946194557187
1.1739335319246438,1.4638357554082093,0.03443687932875918
1.1483273316369051,1.6496250938327783,0.034809893155249655
1.1812707536734268,1.1098982562617183,0.04615493604017261
0.919818784248521,1.2034174126783728,0.03889624844281585
0.9662165053807383,0.8409586572953702,0.04372529187529452
1.1233532269795725,0.9746748754713269,0.039272232055664026
1.055408505235505,1.2028054692830947,0.03598114742410967
0.936882028437034,0.7754091816215314,0.04942440348210314
0.9811573532292688,0.8456774530762492,0.030995704694355024
1.0748925719247104,1.2055738138654,0.040784629611352693
1.0236087592891083,0.8914929455934661,0.05255813940853687
0.9744786310895408,1.0592060049368541,0.03622314860164578
1.077403440980591,0.9399707102764892,0.03577316748037724
1.0467617968379743,1.2000825027540603,0.04374337059526234
1.0397626969283307,0.841117161750526,0.04892515280191634
0.9973665696051289,1.1554498742968768,0.03772187838467095
1.0636680416347954,0.6853199212310968,0.040676885917085986
1.0545423902827882,0.9587681128798423,0.039150895692285706
1.0134482833055702,0.9521560489351255,0.042131996276921685
1.0584113415633336,0.9417285608962163,0.048125545107705975
1.066953854248204,1.059753694695969,0.04541993769140322
1.0074761699821049,0.8426618432386417,0.03916141085796698
1.0388208307205096,1.4208340098892642,0.0507958558982215
1.0557960791794767,1.0479241412134068,0.03940484008859664
1.0500007393047264,0.9499633897497344,0.05187739258440433
0.9830169525067451,0.9302626632800637,0.03597785186510245
1.0451188055528275,1.0679275830838408,0.045706980183534016
1.093747808942184,1.121243826767994,0.0396667527314918
1.0494330594685954,0.9753193210084925,0.041365014508929626
0.9743936944410321,1.413638318236758,0.03583662047471506
1.0624504288238736,0.9058748404549308,0.042238063052826014
1.047484464240572,1.148215752361077,0.04007339019696575
1.0537519343623316,0.8291283374724298,0.03892216829125234
0.9643797030422474,0.8997808376821096,0.038214909545058184
0.994856644612355,0.6142350266884131,0.045167321446663744
0.9499804407535497,0.9734612504307225,0.034934873207789374
1.1341001695974686,0.9436869252969833,0.04182817069324564
1.1563967629310112,1.066876459371892,0.05169372344085518
1.0987360607224788,1.5890535766316392,0.036646331454085766
1.0249919942810948,1.0517406372641565,0.032506150277649984
0.9593062770945393,0.8864240945919459,0.04089255906880451
