participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,0.0,1.0,8.0,7.0,0.3,5,0,0.0,4,0,0,-1.0,0.11941031941031938,1.0,1.0,3942.495699999978
1.0,0.0,1.0,8.0,7.0,0.3,6,0,0.0,5,0,0,-1.0,0.09231353678612127,1.0,1.0,4442.565699999952
1.0,0.0,1.0,8.0,7.0,0.3,7,0,0.0,6,0,0,-1.0,0.07087073463171195,1.0,1.0,4975.973699999933
1.0,0.0,1.0,8.0,7.0,0.3,7,1,1.0,7,0,0,-1.0,0.054111786488960714,1.0,1.0,4975.973699999933
1.0,0.0,1.0,9.0,9.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1860.2604000000013
1.0,0.0,1.0,9.0,9.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,2577.027400000027
1.0,0.0,1.0,9.0,9.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764726,1.0,1.0,3160.442399999982
1.0,0.0,1.0,9.0,9.0,0.1,4,0,0.0,3,0,0,-1.0,0.044776119402985086,1.0,1.0,3694.100099999936
1.0,0.0,1.0,9.0,9.0,0.1,5,0,0.0,4,0,0,-1.0,0.03396226415094341,1.0,1.0,4227.508099999948
1.0,0.0,1.0,9.0,9.0,0.1,6,0,0.0,5,0,0,-1.0,0.025689819219790685,1.0,1.0,4794.254099999958
1.0,0.0,1.0,9.0,9.0,0.1,7,0,0.0,6,0,0,-1.0,0.019391908067991386,1.0,1.0,5310.993099999914
1.0,0.0,1.0,9.0,9.0,0.1,8,0,0.0,7,0,0,-1.0,0.014614783183977869,1.0,1.0,5811.063099999913
1.0,0.0,1.0,9.0,9.0,0.1,9,0,0.0,8,0,0,-1.0,0.011001282728438847,1.0,1.0,6311.133099999921
1.0,0.0,1.0,9.0,9.0,0.1,9,1,1.0,9,0,0,-1.0,0.008273717422474097,1.0,1.0,6311.133099999921
1.0,0.0,1.0,10.0,1.0,0.3,1,0,0.0,0,0,0,-1.0,0.3,1.0,1.0,1856.9266000000355
1.0,0.0,1.0,10.0,1.0,0.3,1,1,1.0,1,0,0,-1.0,0.2432432432432432,1.0,1.0,1856.9266000000355
1.0,0.0,1.0,11.0,5.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,0.0,0.0,1073.4835999999696
1.0,0.0,1.0,11.0,5.0,0.7,2,0,1.0,0,1,0,-1.0,0.6363636363636362,0.0,0.0,1573.8296999999893
1.0,0.0,1.0,11.0,5.0,0.7,3,0,1.0,0,2,0,-1.0,0.5675675675675675,0.0,0.0,2207.251699999978
1.0,0.0,1.0,11.0,5.0,0.7,4,0,1.0,0,3,0,-1.0,0.4960629921259842,0.0,0.0,2707.3216999999986
1.0,0.0,1.0,11.0,5.0,0.7,5,0,1.0,0,4,0,-1.0,0.42471910112359545,0.0,0.0,3207.391700000019
1.0,0.0,1.0,11.0,5.0,0.7,5,1,0.0,0,5,0,-1.0,0.3563796354494028,0.0,0.0,3207.391700000019
1.0,0.0,1.0,12.0,7.0,0.9,1,0,1.0,0,0,0,-1.0,0.9,0.0,0.0,925.1295000000296
1.0,0.0,1.0,12.0,7.0,0.9,2,0,1.0,0,1,0,-1.0,0.8709677419354839,0.0,0.0,1425.1995000000265
1.0,0.0,1.0,12.0,7.0,0.9,3,0,1.0,0,2,0,-1.0,0.8350515463917525,0.0,0.0,1958.6075000000005
1.0,0.0,1.0,12.0,7.0,0.9,4,0,1.0,0,3,0,-1.0,0.7915309446254071,0.0,0.0,2575.3605000000266
1.0,0.0,1.0,12.0,7.0,0.9,5,0,1.0,0,4,0,-1.0,0.7401015228426395,0.0,0.0,3075.430500000023
1.0,0.0,1.0,12.0,7.0,0.9,6,0,1.0,0,5,0,-1.0,0.6810962317035191,0.0,0.0,3625.5074999999947
1.0,0.0,1.0,12.0,7.0,0.9,7,0,1.0,0,6,0,-1.0,0.615651684338932,0.0,0.0,4125.577500000015
1.0,0.0,1.0,12.0,7.0,0.9,7,1,0.0,0,7,0,-1.0,0.545734327778856,0.0,0.0,4125.577500000015
1.0,0.0,1.0,13.0,1.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,1.0,0.0,1275.1785000000098
1.0,0.0,1.0,13.0,1.0,0.5,1,1,0.0,0,1,0,-1.0,0.42857142857142855,1.0,0.0,1275.1785000000098
1.0,0.0,1.0,14.0,3.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,0.0,0.0,1425.1994999999945
1.0,0.0,1.0,14.0,3.0,0.7,2,0,1.0,0,1,0,-1.0,0.6363636363636362,0.0,0.0,1925.2694999999976
1.0,0.0,1.0,14.0,3.0,0.7,3,0,1.0,0,2,0,-1.0,0.5675675675675675,0.0,0.0,2458.677500000019
1.0,0.0,1.0,14.0,3.0,0.7,3,1,0.0,0,3,0,-1.0,0.4960629921259842,0.0,0.0,2458.677500000019
1.0,0.0,1.0,15.0,3.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,0.0,0.0,1193.5004000000336
1.0,0.0,1.0,15.0,3.0,0.5,2,0,1.0,0,1,0,-1.0,0.42857142857142855,0.0,0.0,1693.5703999999896
1.0,0.0,1.0,15.0,3.0,0.5,3,0,1.0,0,2,0,-1.0,0.36,0.0,0.0,2193.6404000000075
1.0,0.0,1.0,15.0,3.0,0.5,3,1,0.0,0,3,0,-1.0,0.2967032967032967,0.0,0.0,2193.6404000000075
